A,Agilent Technologies, Inc. Comm,null,52.26,37.62,55.19
AA-B,-1,-1,-1,-1,-1
AAN,Aaron's, Inc.,27.69,34.22,20.50,32.29
AAT,American Assets Trust, Inc. Com,null,46.38,37.20,46.20
AB,AllianceBernstein Holding L.P.,null,25.13,20.10,25.00
ABBV,AbbVie Inc. Common Stock,null,68.12,54.41,69.78
ABEV,Ambev S.A. American Depositary,null,6.34,4.63,5.79
ABM,ABM Industries Incorporated,null,45.03,30.16,44.40
ABR-A,-1,-1,-1,-1,-1
ABR-C,-1,-1,-1,-1,-1
ABT,Abbott Laboratories Common Stoc,null,45.79,36.76,47.46
AC,Associated Capital Group, Inc.,null,38.60,27.15,10.87
ACCO,Acco Brands Corporation Common,null,14.45,7.53,16.25
ACM,AECOM Common Stock,null,40.72,26.46,43.50
ACP,Avenue Income Credit Strategies,null,14.60,10.10,null
ACV,AllianzGI Diversified Income &,null,20.73,16.61,36.93
ADC,Agree Realty Corporation Common,null,51.33,35.94,51.40
ADPT,Adeptus Health Inc. Common Stoc,null,73.44,6.05,14.57
ADX,Adams Diversified Equity Fund I,null,13.84,12.07,null
AED,AEGON N.V. Perp. Cap. Securitie,null,26.68,24.71,null
AEG,AEGON N.V. Common Stock,null,6.09,3.36,5.52
AEK,Aegon NV 8.00% Non-Cumulative S,null,28.38,25.67,null
AEM,Agnico Eagle Mines Limited Comm,null,60.10,32.87,52.55
AEP,American Electric Power Company,null,71.320,57.890,67.470
AES,The AES Corporation Common Stoc,null,13.320,9.940,12.520
AET,Aetna Inc.,134.99,136.50,104.59,139.81
AF,Astoria Financial Corporation C,null,19.26,14.11,17.13
AFA,American Financial Group, Inc.,null,26.89,24.16,null
AFC,Allied Capital Corporation Alli,null,26.28,25.10,null
AFGE,American Financial Group, Inc.,null,28.2830,24.4300,null
AFI,Armstrong Flooring, Inc. Common,null,22.96,11.77,19.00
AFS-A,-1,-1,-1,-1,-1
AFS-C,-1,-1,-1,-1,-1
AFS-E,-1,-1,-1,-1,-1
AFSS,AmTrust Financial Services, Inc,null,26.81,24.12,null
AFT,Apollo Senior Floating Rate Fun,null,18.02,14.22,null
AG,First Majestic Silver Corp. Ord,null,19.15,4.44,12.49
AGCO,AGCO Corporation Common Stock,null,64.90,44.68,57.94
AGI,Alamos Gold Inc. Class A Common,null,10.4100,4.4200,9.5700
AGM-A,Federal Agricultural Mortgage C,null,65.96,29.50,null
AGM-C,-1,-1,-1,-1,-1
AGN,Allergan plc Ordinary Shares,null,299.11,184.50,268.74
AGO,Assured Guaranty Ltd. Common St,null,42.94,23.42,45.25
AGO-E,-1,-1,-1,-1,-1
AGR,Avangrid, Inc. Common Stock,null,46.74,35.42,43.50
AGU,Agrium Inc. Common Stock,null,111.88,81.17,107.16
AHC,A.H. Belo Corporation,7.95,7.95,4.75,3.00
AHL,Aspen Insurance Holdings Limite,null,57.80,43.27,55.00
AHL-B,-1,-1,-1,-1,-1
AHP,Ashford Hospitality Prime, Inc.,null,17.64,9.66,15.50
AHS,AMN Healthcare Services Inc AMN,null,44.99,21.24,46.93
AHT-A,-1,-1,-1,-1,-1
AHT-E,-1,-1,-1,-1,-1
AIB,Apollo Investment Corporation 6,null,26.79,24.20,null
AIF,Apollo Tactical Income Fund Inc,null,16.35,13.00,21.68
AIG.W,-1,-1,-1,-1,-1
AIR,AAR Corp.,null,38.75,20.74,36.00
AIV,Apartment Investment and Manage,null,47.91,37.95,47.23
AIV-Z,-1,-1,-1,-1,-1
AIY,Apollo Investment Corporation 6,null,27.41,24.52,null
AJG,Arthur J. Gallagher & Co. Commo,null,57.82,40.13,58.71
AJX,Great Ajax Corp. Common Stock,null,14.48,9.50,16.00
AKO.B,-1,-1,-1,-1,-1
AKR,Acadia Realty Trust Common Stoc,null,38.01,30.90,36.50
AL,Air Lease Corporation Class A C,null,40.24,24.49,48.13
ALDW,Alon USA Partners, LP Common Un,null,14.97,7.63,10.63
ALEX,Alexander & Baldwin, Inc. Commo,null,46.43,32.60,52.00
ALJ,Alon USA Energy, Inc. common st,null,13.01,5.86,12.31
ALL,Allstate Corporation (The) Comm,null,82.8200,63.7300,83.8700
ALL-B,-1,-1,-1,-1,-1
ALL-D,-1,-1,-1,-1,-1
ALL-F,-1,-1,-1,-1,-1
ALLY,Ally Financial Inc. Common Stoc,null,23.62,14.84,25.88
ALR,Alere Inc. Common Stock,null,53.96,31.47,48.00
ALSN,Allison Transmission Holdings,,null,38.17,24.36,39.50
ALX,Alexander's, Inc. Common Stock,null,451.9900,364.0100,440.0000
AMBR,Amber Road, Inc. Common Stock,null,12.30,4.50,13.17
AME,AMETEK, Inc.,null,55.48,43.28,59.07
AMG,Affiliated Managers Group, Inc.,null,179.85,130.48,190.00
AMH-A,-1,-1,-1,-1,-1
AMH-C,-1,-1,-1,-1,-1
AMH-E,-1,-1,-1,-1,-1
AMP,Ameriprise Financial, Inc. Comm,null,135.20,83.93,138.80
AMT,American Tower Corporation (REI,115.00,118.26,93.69,129.80
AMT-B,-1,-1,-1,-1,-1
AMX,America Movil, S.A.B. de C.V. A,null,15.95,11.02,12.92
ANET,Arista Networks, Inc. Common St,null,123.12,55.00,116.23
ANFI,Amira Nature Foods Ltd Ordinary,null,14.09,5.35,13.00
ANH-A,-1,-1,-1,-1,-1
ANH-C,-1,-1,-1,-1,-1
ANTX,Anthem, Inc. Corporate Units,null,51.05,41.00,null
AOD,Alpine Total Dynamic Dividend F,null,8.33,6.97,null
AON,Aon plc Class A Ordinary Shares,null,117.89,95.26,122.83
AP,Ampco-Pittsburgh Corporation Co,null,19.22,9.34,16.00
APAM,Artisan Partners Asset Manageme,null,35.00,24.48,27.10
APC,Anadarko Petroleum Corporation,64.98,73.33,39.73,82.09
APF,Morgan Stanley Asia-Pacific Fun,null,15.3400,12.6900,null
APLE,Apple Hospitality REIT, Inc. Co,null,20.68,17.32,19.60
APTS,Preferred Apartment Communities,null,15.39,11.16,15.75
AR,Antero Resources Corporation Co,null,30.66,21.56,34.19
ARC,ARC Document Solutions, Inc. Co,null,5.55,3.06,7.00
ARCX,Arc Logistic Partners LP Common,null,17.40,9.50,16.40
ARE,Alexandria Real Estate Equities,null,120.51,80.67,117.50
ARE-D,-1,-1,-1,-1,-1
ARES,Ares Management L.P. Common Uni,null,23.25,11.97,22.67
ARI,Apollo Commercial Real Estate F,null,18.47,15.31,17.07
ARL,American Realty Investors, Inc.,null,9.85,3.91,null
AROC,Archrock, Inc. Common Stock,null,16.40,5.25,13.89
ARP-D,-1,-1,-1,-1,-1
ARR,ARMOUR Residential REIT, Inc.,null,23.40,18.63,20.00
ARR-B,-1,-1,-1,-1,-1
ARW,Arrow Electronics, Inc. Common,null,75.88,58.09,75.78
ASB,Associated Banc-Corp Common Sto,null,26.63,15.72,24.58
ASB-C,-1,-1,-1,-1,-1
ASG,Liberty All-Star Growth Fund, I,null,4.63,3.85,3.60
ASH,Ashland Global Holdings Inc. Co,null,125.00,97.61,128.38
ASR,Grupo Aeroportuario del Sureste,null,165.40,131.72,164.44
AT,Atlantic Power Corporation Ordi,null,2.750,1.730,2.630
ATHM,Autohome Inc. American Deposita,null,35.29,19.32,31.72
ATKR,Atkore International Group Inc.,null,27.30,14.17,27.67
ATR,AptarGroup, Inc. Common Stock,null,81.500,70.320,76.570
ATU,Actuant Corporation Common Stoc,null,29.80,20.54,0.56
ATW,Atwood Oceanics, Inc. Common St,null,15.37,6.12,10.53
AUO,AU Optronics Corp American Depo,3.96,4.42,2.47,4.77
AV,Aviva plc Unsponsored ADR (UK),null,15.59,9.11,null
AVAL,Grupo Aval Acciones y Valores S,null,9.04,6.92,8.84
AVD,American Vanguard Corporation C,null,20.00,12.60,19.75
AVH,Avianca Holdings S.A. American,null,10.91,4.62,8.03
AVP,Avon Products, Inc. Common Stoc,null,6.96,3.52,5.61
AVV,Aviva plc Subordinated Capital,null,26.95,25.06,null
AVY,Avery Dennison Corporation Comm,null,82.11,67.08,85.00
AWH,Allied World Assurance Company,null,54.46,32.75,52.83
AWK,American Water Works Company, I,null,85.24,66.63,79.00
AWR,American States Water Company C,null,46.39,37.28,42.50
AXL,American Axle & Manufacturing H,null,21.25,12.61,19.70
AXON,Axovant Sciences Ltd. Common Sh,null,17.66,10.69,25.92
AXR,AMREP Corporation Common Stock,null,8.14,3.90,2.46
AXS-C,-1,-1,-1,-1,-1
AXTA,Axalta Coating Systems Ltd. Com,null,30.45,24.27,32.59
AYR,Aircastle Limited Common Stock,null,25.9800,18.2600,24.5000
AZO,AutoZone, Inc.,745.20,819.54,713.09,876.55
